id,V-score,VL-score,db,name
PF04860.16,10.0,4.700945886,Pfam,Phage portal protein
PF10145.13,10.0,4.670598342,Pfam,Phage-related minor tail protein
PF05065.17,10.0,4.617189124,Pfam,Phage capsid family 
PF03237.19,10.0,4.566142756,Pfam,"Terminase large subunit, T4likevirus-type, N-terminal"
PF04466.17,10.0,4.363837529,Pfam,Phage terminase large subunit
PF17289.6,10.0,4.35320432,Pfam,Terminase RNaseH-like domain
PF20441.2,10.0,4.335578243,Pfam,"Terminase large subunit, endonuclease domain"
PF03354.19,10.0,4.295984701,Pfam,"Terminase large subunit, ATPase domain"
PF05133.18,10.0,4.244845909,Pfam,"Phage portal protein, SPP1 Gp6-like"
PF03592.20,10.0,4.18568378,Pfam,Terminase small subunit
PF05876.16,10.0,4.177507642,Pfam,"Phage terminase large subunit gpA, ATPase domain"
PF05136.17,10.0,4.164679941,Pfam,"Phage portal protein, lambda family"
PF05521.15,10.0,4.149003452,Pfam,Phage head-tail joining protein
PF20454.2,10.0,4.144698719,Pfam,"Terminase large subunit gpA, endonuclease domain"
PF13550.10,10.0,4.128980524,Pfam,Putative phage tail protein
PF12236.12,10.0,4.106836587,Pfam,Bacteriophage head to tail connecting protein
PF06605.15,10.0,4.095796794,Pfam,Prophage endopeptidase tail
PF02305.21,10.0,4.084754963,Pfam,Capsid protein (F protein)
PF07484.16,10.0,4.064158372,Pfam,Phage Tail Collar Domain
PF17288.6,10.0,4.061150781,Pfam,Terminase RNAseH like domain
PF04984.18,10.0,4.046729222,Pfam,Phage tail sheath protein subtilisin-like domain
PF17482.6,10.0,4.045166448,Pfam,Phage tail sheath C-terminal domain
PF18906.4,10.0,4.02514195,Pfam,Phage tail tube protein
PF05119.16,10.0,3.993039232,Pfam,"Phage terminase, small subunit"
PF03864.19,10.0,3.957128198,Pfam,Phage major capsid protein E
PF05135.17,10.0,3.941362336,Pfam,Phage gp6-like head-tail connector protein
PF12571.12,10.0,3.908592239,Pfam,Phage tail-collar fibre protein
PF16778.9,10.0,3.905634001,Pfam,Phage tail assembly chaperone protein
PF19821.3,10.0,3.891760401,Pfam,Phage capsid protein
PF09718.14,10.0,3.858777737,Pfam,Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF06152.15,10.0,3.852296966,Pfam,Phage minor capsid protein 2
PF04883.16,10.0,3.840795899,Pfam,"Bacteriophage HK97-gp10, putative tail-component"
PF16510.9,10.0,3.825945143,Pfam,Phage P22-like portal protein
PF09684.14,10.0,3.825296264,Pfam,Phage tail protein (Tail_P2_I)
PF06791.17,10.0,3.819872822,Pfam,Prophage tail length tape measure protein
PF18013.5,10.0,3.816771412,Pfam,Phage tail lysozyme
PF20901.1,10.0,3.807399713,Pfam,"Bacteriophage Sf6, terminase small subunit-like"
PF02413.21,10.0,3.717753693,Pfam,"Caudovirales tail fibre assembly protein, lambda gpK"
PF10109.13,10.0,3.704407927,Pfam,"Phage tail assembly chaperone proteins, E, or 41 or 14"
PF06199.15,10.0,3.704236337,Pfam,Phage tail tube protein
PF04985.18,10.0,3.704150517,Pfam,Phage tail tube protein FII
PF05954.15,10.0,3.658011397,Pfam,Phage tail baseplate hub (GPD)
PF21821.1,10.0,3.649918719,Pfam,Dit-like phage tail protein
PF03406.17,10.0,3.64601141,Pfam,Phage tail fibre repeat
PF20911.1,10.0,3.63818964,Pfam,Major capsid protein GP7
PF05709.15,10.0,3.611617111,Pfam,Phage tail protein RIFT-related domain
PF07230.15,10.0,3.60906055,Pfam,Bacteriophage T4-like portal protein (Gp20)
PF05100.16,10.0,3.590507462,Pfam,Phage minor tail protein L 
PF00073.24,10.0,3.584331224,Pfam,picornavirus capsid protein
PF05489.16,10.0,3.582177038,Pfam,Phage Tail Protein X
PF05396.15,10.0,3.56937391,Pfam,Phage T7 capsid assembly protein
PF07068.15,10.0,3.557386882,Pfam,Major capsid protein Gp23
PF05939.17,10.0,3.555698895,Pfam,Phage minor tail protein
PF03906.18,10.0,3.541454429,Pfam,Phage T7 tail fibre protein
