id,V-score,VL-score,db,name,genomad_plasmid_marker
K04763,10.0,4.890951685,KEGG,integrase/recombinase XerD,False
K14059,10.0,4.882296801,KEGG,integrase,False
K03733,10.0,4.875391202,KEGG,integrase/recombinase XerC,False
K03497,10.0,4.484769478,KEGG,"ParB family transcriptional regulator, chromosome partitioning protein",True
K06400,10.0,4.37329828,KEGG,site-specific DNA recombinase,False
K07450,10.0,4.204933522,KEGG,putative resolvase,False
K07012,10.0,4.036069701,KEGG,CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4],False
K07496,10.0,3.890700398,KEGG,putative transposase,False
K07497,10.0,3.754730469,KEGG,putative transposase,False
K03496,10.0,3.661244609,KEGG,chromosome partitioning protein,True
K12055,10.0,3.562768543,KEGG,chromosome partitioning related protein ParA,False
K02621,10.0,3.400537989,KEGG,topoisomerase IV subunit A [EC:5.6.2.2],True
K07464,10.0,3.333245699,KEGG,CRISPR-associated exonuclease Cas4 [EC:3.1.12.1],False
K19732,10.0,3.211921084,KEGG,"LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids",True
K07482,10.0,3.186391216,KEGG,"transposase, IS30 family",False
K07483,10.0,3.182699903,KEGG,transposase,False
K12212,10.0,3.164352856,KEGG,intracellular multiplication protein IcmJ,True
K09952,10.0,3.1430148,KEGG,CRISPR-associated endonuclease Csn1 [EC:3.1.-.-],False
K07486,10.0,3.118925753,KEGG,transposase,False
K07467,10.0,3.10720997,KEGG,putative DNA relaxase,True
K18640,10.0,3.102433706,KEGG,plasmid segregation protein ParM,True
K07488,10.0,3.08170727,KEGG,transposase,False
K12063,10.0,3.022840611,KEGG,conjugal transfer ATP-binding protein TraC,True
K07491,8.51,2.92992956,KEGG,REP-associated tyrosine transposase,False
K07449,8.07,2.906873535,KEGG,similar to archaeal holliday junction resolvase and Mrr protein,False
K03205,8.05,2.90579588,KEGG,type IV secretion system protein VirD4 [EC:7.4.2.8],True
K07492,6.81,2.833147112,KEGG,putative transposase,False
K07481,6.48,2.811575006,KEGG,"transposase, IS5 family",False
K07485,5.8,2.763427994,KEGG,transposase,False
K07499,5.56,2.745074792,KEGG,putative transposase,False
K07487,5.48,2.738780558,KEGG,transposase,False
K07493,5.48,2.738780558,KEGG,putative transposase,False
K12071,4.98,2.697229343,KEGG,conjugal transfer pilus assembly protein TraD,True
K03199,4.79,2.680335513,KEGG,type IV secretion system protein VirB4 [EC:7.4.2.8],True
K15338,4.71,2.673020907,KEGG,holliday junction resolvase GEN1/YEN1 [EC:3.1.-.-],False
