id	V-score	VL-score	db	name
K22300	10.0	4.775552198	KEGG	HTH-type transcriptional regulator, cell division transcriptional repressor
K07729	10.0	4.700201653	KEGG	putative transcriptional regulator
K22299	10.0	4.563291188	KEGG	HTH-type transcriptional regulator, competence development regulator
K14440	10.0	4.52045733	KEGG	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]
K07358	10.0	4.495530462	KEGG	type 1 fimbriae regulatory protein FimE
K03497	10.0	4.484769478	KEGG	ParB family transcriptional regulator, chromosome partitioning protein
K03111	10.0	4.473968441	KEGG	single-strand DNA-binding protein
K18830	10.0	4.44836617	KEGG	HTH-type transcriptional regulator / antitoxin PezA
K15773	10.0	4.438194141	KEGG	HTH-type transcriptional regulator / antitoxin HipB
K23779	10.0	4.422540597	KEGG	XRE family transcriptional regulator, regulator of sulfur utilization
K07357	10.0	4.416939918	KEGG	type 1 fimbriae regulatory protein FimB
K15711	10.0	4.400192489	KEGG	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:5.6.2. 2.3.2.27]
K20092	10.0	4.39104102	KEGG	chromodomain-helicase-DNA-binding protein 1-like [EC:5.6.2.-]
K14439	10.0	4.361236617	KEGG	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:5.6.2.-]
K01356	10.0	4.349763044	KEGG	repressor LexA [EC:3.4.21.88]
K11654	10.0	4.348246434	KEGG	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:5.6.2.-]
K21686	10.0	4.346939463	KEGG	XRE family transcriptional regulator, fatty acid utilization regulator
K11727	10.0	4.336899809	KEGG	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:5.6.2.-]
K19449	10.0	4.335217116	KEGG	XRE family transcriptional regulator, master regulator for biofilm formation
K15173	10.0	4.298460069	KEGG	transcription termination factor 2 [EC:5.6.2.-]
K11647	10.0	4.223833277	KEGG	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:5.6.2.-]
K07741	10.0	4.198876927	KEGG	anti-repressor protein
K14056	10.0	4.198079476	KEGG	HTH-type transcriptional regulator, repressor for puuD
K07505	10.0	4.172369377	KEGG	regulatory protein RepA
K11643	10.0	4.168409084	KEGG	chromodomain-helicase-DNA-binding protein 4 [EC:5.6.2.-]
K14436	10.0	4.097500252	KEGG	chromodomain-helicase-DNA-binding protein 6 [EC:5.6.2.-]
K14435	10.0	4.045987606	KEGG	chromodomain-helicase-DNA-binding protein 5 [EC:5.6.2.-]
K07110	10.0	4.042221002	KEGG	XRE family transcriptional regulator, fatty acid utilization regulator
K20091	10.0	4.021478732	KEGG	chromodomain-helicase-DNA-binding protein 2 [EC:5.6.2.-]
K04494	10.0	3.981999714	KEGG	chromodomain helicase DNA binding protein 8 [EC:5.6.2.-]
K11367	10.0	3.97308165	KEGG	chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-]
K10779	10.0	3.964118143	KEGG	transcriptional regulator ATRX
K11642	10.0	3.937969003	KEGG	chromodomain-helicase-DNA-binding protein 3 [EC:5.6.2.-]
K07726	10.0	3.911902996	KEGG	putative transcriptional regulator
K07727	10.0	3.910143961	KEGG	putative transcriptional regulator
K04078	10.0	3.910143961	KEGG	chaperonin GroES
K14438	10.0	3.889077493	KEGG	chromodomain-helicase-DNA-binding protein 9 [EC:5.6.2.-]
K03091	10.0	3.883547879	KEGG	RNA polymerase sigma-E/F/G factor
K03087	10.0	3.859618579	KEGG	RNA polymerase nonessential primary-like sigma factor
K02405	10.0	3.83511959	KEGG	RNA polymerase sigma factor FliA
K18955	10.0	3.834166284	KEGG	WhiB family transcriptional regulator, redox-sensing transcriptional regulator
K14437	10.0	3.822494985	KEGG	chromodomain-helicase-DNA-binding protein 7 [EC:5.6.2.-]
